,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ACP5,0.051605955,-0.0074883117,0.054661788,0.9689412,-0.001961405,-0.003631057,-0.0010750961,0.8731775,-0.0010197104,0.04965959,0.18403953,0.2257951,-0.003531062,-0.0042483048,0.08737719,0.20769589
ACSL4,-0.00417537,0.16741377,1.0421243,-0.00039736961,0.3334438,-0.006358473,-0.001406449,0.18794417,-0.0017409718,0.41253448,0.6467712,-0.0056481007,0.31849903,0.13439754,0.07558539,-0.0060923076
ACSL5,-0.0053521385,0.20064557,1.3066301,-0.0011093004,0.48761323,-0.006669137,-0.0012323526,0.14115728,-0.0029863208,0.40417656,0.71426356,-0.0059157955,0.25778344,0.15069002,0.17512369,-0.006983926
ACSS1,0.04953454,-0.0076060556,0.055310816,0.9772932,-0.0018350654,-0.0038108455,-0.0011343822,0.8760799,-0.0009111041,0.03660821,0.16678008,0.21872187,-0.0035300876,-0.004135423,0.06545912,0.21045856
ACTB,0.3661478,-0.0018172109,0.84445524,0.10291461,0.21355887,-0.0005959752,0.35901707,-6.4189095e-05,-0.0053073755,0.27072483,0.0940531,0.25051898,-0.0041977228,-0.0045113517,0.24405468,-0.0027513048
ACTG1,-0.0053309565,0.20746106,1.2420269,-0.00059472775,0.56609285,-0.0065926355,-0.00079353875,0.063622825,-0.002977084,0.411703,0.6615542,-0.0057132915,0.3394629,0.158799,0.11980357,-0.0069470895
ACTN1,-0.0028890201,0.17644763,1.0240322,0.10063893,0.38609782,-0.008139676,0.048865885,0.18695867,-0.004273427,0.42243165,0.6476989,-0.003790698,0.19284582,0.016600378,0.11565799,-0.006348587
ACTN4,0.25898433,-0.0020226946,0.6867787,0.15206671,0.15839449,-0.0008942099,0.10816525,0.21145894,-0.0046695704,0.38719246,0.17175761,0.33349812,-0.0037582186,-0.0046194703,0.29169944,-0.0018165049
ACTR10,0.06885928,-0.007539799,0.06504733,0.9678996,-0.0020004238,-0.0037064482,-0.00096548174,0.88884497,-0.0012807789,0.066866755,0.17795199,0.22173125,-0.0037434583,-0.0043882676,0.08424893,0.19162315
ACTR2,-0.005135381,0.25965616,1.2363961,-8.656166e-05,0.55777323,-0.006716675,-0.00014533236,0.087255195,-0.0031068341,0.3627748,0.64596087,-0.0055681146,0.3299177,0.15442416,0.11664707,-0.007086651
ACTR6,0.37168136,-0.0018209072,0.7822922,0.09695027,0.14961961,-0.00059993385,0.31567395,0.042552873,-0.004942697,0.29344845,0.10795397,0.20214272,-0.0043776487,-0.004459389,0.2531005,-0.0025659886
ACYP1,0.25402054,0.008952148,0.8194651,0.0862557,0.19649734,0.0038322061,-2.107963e-05,-0.00018171356,-0.004811689,0.43865395,0.23874795,0.2948313,-0.003184541,-0.0057597086,0.28101856,-0.00252902
ACYP2,0.008271636,-0.00593002,0.010255486,0.771778,-0.002188606,-0.0023123117,-0.002647927,0.7603943,-0.0015217662,0.14932646,0.19702324,0.4123972,-0.0031618362,-0.0037535748,0.08692081,0.27384126
ADA,0.41907582,-0.0016249984,0.87980247,0.10424904,0.19448952,-0.0005353765,0.38529807,-1.401294e-05,-0.0052140174,0.29143125,0.0868955,0.17779295,-0.004390241,-0.004827197,0.2786038,-0.0030516537
ADAM15,-0.005541301,0.24502394,1.2837106,-0.00075507484,0.582551,-0.006463977,-0.0007533682,0.09780963,-0.0029086566,0.40394852,0.69222677,-0.0056656133,0.30195913,0.11770603,0.16781957,-0.0068892776
ADAM17,-0.0069542346,-0.00055384927,0.5245018,0.7109115,0.052751876,-0.0045824354,-0.0060829404,0.708111,-0.00042713035,0.2803432,0.47275743,-0.0027757543,0.28840902,0.021603812,0.13773143,-0.0014864159
ADAM19,0.046334907,-0.004500891,0.109344706,0.8893074,-0.0014861759,-0.0024471493,-0.0031949924,0.6905052,-0.00060049497,0.16297492,0.21945015,0.18799798,-0.0026343048,-0.005501188,-3.232643e-05,0.12614843
ADAM28,0.360927,-0.0018941063,0.819817,0.083296835,0.063072935,-0.0010459541,0.14705954,-0.0018458482,-0.0046887547,0.27887583,0.1557883,-0.00064839737,-0.0030862114,-0.0036685702,0.28554285,-0.0018455889
ADAM8,0.23988271,-0.0023798037,0.6546014,0.10325983,0.24280766,-0.0015818044,0.18551402,0.080094434,-0.004712702,0.31974334,0.10505984,0.27346954,-0.003229345,-0.0034426462,0.23521808,-0.001958922
ADAP1,-0.00586478,0.22128746,1.2569447,-0.00057938386,0.5554993,-0.0060701105,-0.0012547902,0.1293051,-0.0023858054,0.41478372,0.67908394,-0.0056469077,0.32310125,0.10849343,0.19207467,-0.006635799
ADD1,0.37740275,-0.0024889228,0.798269,0.12594129,0.20106031,-0.0012214187,0.35345608,0.059829444,-0.0053562606,0.29440704,0.1561772,0.23310316,-0.0039037047,-0.004570685,0.25412792,-0.0024757313
ADGRE2,-0.005736733,0.22086099,1.2511117,-0.00049117603,0.57148874,-0.006102447,-0.0012324806,0.15888992,-0.0024687625,0.43798736,0.67480546,-0.0053665447,0.31036547,0.09128589,0.19851986,-0.0063205003
ADGRE5,-0.0061759194,-0.0008751695,0.4814797,0.9793592,-0.0006736433,-0.0068811094,-0.0053109056,0.93696725,-0.00040069394,0.2289764,0.5987082,-0.0044320533,0.3208223,-0.00064978004,0.07574864,-0.0023042636
ADH5,0.018035715,-0.0073447847,0.09693115,0.92693627,-0.0023588112,-0.0032060866,-0.0021730342,0.8550249,-0.0014729684,0.119302936,0.14810628,0.25368154,-0.003614332,-0.0040665367,0.06286534,0.18881015
ADI1,-0.006092156,-0.001453469,0.48840314,1.0169376,-0.00048589602,-0.0072269696,-0.005844749,1.080196,0.020981513,0.23553434,0.6596406,-0.0044925124,0.2988039,-0.00070755463,0.13901643,-0.0019987067
ADIPOR1,-0.0022131817,0.06979737,1.0614767,0.05204431,0.27842,-0.008105983,0.028143078,0.11741994,-0.0039962335,0.32548136,0.64580405,-0.0050209356,0.19845104,0.086101495,0.052263,-0.0054360735
ADIPOR2,0.41132143,-0.0021220413,0.887569,0.029913306,0.18828617,-8.165359e-05,0.3101346,-0.00040258173,-0.005907806,0.35689703,0.092537634,0.24719995,-0.004364068,-0.0044185617,0.24762896,-0.0026572573
ADK,0.39552596,-0.0024355918,0.85803324,0.14499357,0.17771666,-0.0009231783,0.38141525,0.024148576,-0.005064433,0.2655867,0.070812635,0.12563351,-0.004360619,-0.0045772344,0.2659272,-0.0030366045
ADPRM,0.3885596,-0.0029536788,0.71627104,0.25788176,0.17077327,-0.0014666751,0.47655582,0.06768654,-0.0037987707,0.1331724,-0.00013585217,0.062329106,-0.0037938827,-0.0037692438,0.2726464,-0.0027423522
ADRB2,-0.0057062497,0.27301034,1.227181,-0.00035755016,0.5699141,-0.006105851,-0.0008689887,0.039291963,-0.0026530414,0.35957688,0.6350586,-0.0059947446,0.30217412,0.1577248,0.15556884,-0.006970837
ADRBK1,0.3096979,-0.0022912158,0.7636564,0.08615329,0.21765347,-0.0013114312,0.29832792,0.0852838,-0.005134374,0.31811756,0.11569283,0.24294254,-0.0036822471,-0.0042064297,0.24559674,-0.0025235862
ADRBK2,0.2851253,-0.002600207,0.7682261,0.1480662,0.1965271,-0.0008995472,0.3306343,0.044375204,-0.004825874,0.23315433,0.0672899,0.16182736,-0.004015756,-0.0038951372,0.19822851,-0.0024818361
ADSL,0.16181147,-0.0019699861,0.67757064,0.26417205,0.28150567,-0.0009264399,0.16993193,0.05039852,-0.0036431504,0.30031532,0.15006718,0.17391115,-0.0024340372,-0.004712966,0.26510173,-0.0028333836
ADSS,-0.0054012537,0.22189495,1.2001147,0.08156818,0.4792265,-0.0073482827,-0.001115729,0.24397741,-0.002098392,0.3755601,0.69597864,-0.00614663,0.34750143,0.14403917,0.20295846,-0.0066620847
AES,0.31446356,-0.002523546,0.7894222,0.05928021,0.18595965,-0.00060876465,0.33480608,-0.0009893202,-0.005466783,0.2696942,0.09235004,0.18921548,-0.0037912633,-0.0042831274,0.19913395,-0.0027836317
AFF1,0.30913317,-0.0017224186,0.7948601,0.12876536,0.21593364,-0.00035755074,0.33330637,0.051691286,-0.0051829037,0.2592952,0.053064995,0.27806237,-0.004525593,-0.0043772343,0.22885913,-0.0028338018
AFF3,-0.0063288105,-0.0006107662,0.6294543,0.5417944,0.1797935,-0.0050136684,-0.0057788105,0.51660967,-0.001265203,0.34674367,0.5082569,-0.0037840835,0.30885544,0.12969406,0.089479886,-0.0020064607
AFTPH,0.03851275,-0.0082367435,0.03098987,0.98725575,-0.0015033596,-0.0039352886,-0.00036811968,0.8835584,-0.0007202424,0.005131118,0.0886338,0.2284831,-0.0033485137,-0.003759012,0.13900144,0.19946438
AGA,0.30403346,-0.0028493842,0.64311445,0.20835713,0.19261754,-0.001053182,0.29535156,0.12322073,-0.0041391472,0.26419455,0.07032221,0.18973061,-0.0036315753,-0.0036645073,0.23131993,-0.002255726
AGGF1,-0.0049693813,-0.0023434598,0.34495887,0.5431931,-0.00049536076,-0.00075596024,-0.0059652147,0.5333358,-0.00025364364,0.29463482,0.2676388,-0.00024573205,0.029660217,-0.002932539,0.27077854,-5.1693765e-05
AGO1,-0.0050585354,0.17224932,1.1661648,0.014818497,0.51475537,-0.007545357,-0.000827084,0.15568267,-0.0025633085,0.41090095,0.72161406,-0.0059541026,0.3793196,0.15382564,0.1375524,-0.0069260155
AGO2,0.012145031,-0.0003292986,0.863012,0.099207036,0.2455132,-0.0038043314,0.052213043,-0.00015700204,-0.0059781135,0.43042585,0.26208124,0.022651158,-0.000990825,-0.001886231,-2.6679038e-05,-0.0036298223
AGO4,0.16572353,-0.0012145891,1.168658,-0.0010872355,0.24916494,-0.004896522,0.056717172,-0.00022745498,-0.0069913375,0.4371544,0.41152397,-0.00060571835,-0.0029721807,-0.0024180212,0.1703701,-0.003942102
AGPAT3,-0.0041949716,0.18367411,1.2218301,-0.00079916394,0.5567232,-0.0067583183,-0.00039022765,0.06395821,-0.0029168152,0.3873741,0.68589664,-0.005902571,0.3016877,0.14744392,0.15508844,-0.006513802
AGTPBP1,0.35546756,-0.0026159578,0.76167697,0.16643524,0.24348211,-0.0012038085,0.49382657,0.012366358,-0.0046365303,0.17688948,0.018170886,0.14654228,-0.003952682,-0.0037223,0.24166977,-0.0029964822
AGTRAP,0.4226904,-0.0015048095,0.86030513,0.08782327,0.22271533,-0.0005945964,0.4529032,-0.00050087814,-0.0052091065,0.23681822,0.052481167,0.1791905,-0.004214032,-0.0043253168,0.23156428,-0.003210891
AHNAK,0.046039198,-0.0073963488,0.04998614,0.94667983,-0.0018637987,-0.0038059026,-0.0010221014,0.8528996,-0.0010403527,0.04653788,0.17542872,0.22914538,-0.0034081235,-0.0042109075,0.073894106,0.19740441
AHR,0.36900842,-0.001551502,0.81326556,0.048849277,0.2028036,-0.00062183134,0.33513618,0.0024039857,-0.005544592,0.31902567,0.08179972,0.25093955,-0.0040798634,-0.004382024,0.21392208,-0.002874649
AHSA1,-2.3411325e-05,-0.006845517,0.11886692,1.0271931,-0.0024969934,-0.0033814334,-0.0027892415,0.84998876,-0.0017849236,0.16547027,0.24361765,0.25770515,-0.0027840845,-0.004800986,0.046530463,0.23556377
AHSA2,-0.004836243,0.2504216,1.1135647,0.13520975,0.47797468,-0.008718984,-0.00036983727,0.21141459,-0.0023393834,0.34166065,0.74880975,-0.0066019404,0.41806236,0.16646135,0.104276195,-0.007354045
AIDA,-0.003938311,0.17577514,0.7710733,0.6512771,0.3915604,-0.009411782,0.1307335,0.32682264,-0.00091100094,0.048804566,0.532121,-0.00644471,0.4457915,0.29491526,0.005327642,-0.00543687
AIF1,-0.00032487567,-0.006779467,0.06373136,0.87817377,-0.0025596947,-0.0016110273,-0.0043232255,0.6756267,-0.0003826644,0.13052872,0.11812248,0.271097,-0.002522187,-0.00369967,0.08059352,0.2528735
AIFM1,0.34712952,-0.0016789645,0.8177882,0.051434442,0.23656693,-0.00075648323,0.3145846,-2.721727e-05,-0.0052299714,0.30500755,0.13607705,0.22142294,-0.003939977,-0.0044268942,0.23309104,-0.0026409556
AIM1,0.3583616,-0.0024217593,0.7230078,0.17817688,0.18230174,-0.0010281159,0.34576732,0.056272797,-0.0046923114,0.26597857,0.15018308,0.14123997,-0.003940064,-0.004724404,0.29047233,-0.0027057831
AIMP1,-5.1710715e-05,-0.006719167,0.0049440116,0.8393422,-0.0025383893,-0.0021770643,-0.0031039745,0.7870616,-0.0015198976,0.14774741,0.19492486,0.3400054,-0.0036248544,-0.0039645154,0.059323013,0.28764254
AK3,0.37151396,-0.0022220144,0.7819668,0.1353414,0.19493169,-0.0008184272,0.35550827,0.019404579,-0.0050758845,0.26720893,0.10363967,0.18882832,-0.0041276272,-0.0044591636,0.26403987,-0.00276397
