,TF,Target
16806,ATF3,PDRG1
16807,ESRRA,CITED4
16808,CBFB,IST1
16809,CEBPA,LYPLAL1
16810,TAF1,RABIF
16811,LMO2,ENTPD1
16812,SPI1,QTRT1
16813,LMO2,CDC37
16814,STAT5B,PAK1
16815,LMO2,TBC1D4
16816,BCL6,TMEM2
16817,IRF1,SNX2
16818,BHLHE40,CHD9
16819,CBFB,CMIP
16820,POLR2A,RNF40
16821,RXRA,EXOSC9
16822,BHLHE40,CXCL16
16823,MEF2C,TSHZ2
16824,BRD3,RPS20
16825,FOXP1,MAPK8
16826,ZZZ3,MIEF1
16827,CREBBP,SRRT
16828,RUNX3,CD52
16829,NFYB,NOP16
16830,SPI1,KDSR
16831,TBP,STRA13
16832,ELF1,TRAF3IP3
16833,ETS1,FBXL12
16834,EP300,CCDC130
16835,STAT4,UBASH3A
16836,EP300,ZNF766
16837,CEBPA,TWF1
16838,STAT4,G6PC3
16839,RUNX3,SLFN12L
16840,BHLHE40,NDUFAF1
16841,CBFB,ODC1
16842,CTBP2,VAMP8
16843,STAT4,SLC39A8
16844,CBFB,PCNXL4
16845,RUNX3,RPL4
16846,BATF,FOXP1
16847,CEBPA,COTL1
16848,ETS1,TMEM173
16849,CBFB,FAF2
16850,MYC,DNAJC1
16851,POU2F2,STAT1
16852,ATF3,RBM43
16853,MAZ,ERN1
16854,FOXP1,ZNF44
16855,ELF1,PLEKHA2
16856,CBFB,G6PC3
16857,ZNF143,TUBA4A
16858,BHLHE40,GNPDA1
16859,TBX21,RPS13
16860,BCL11A,DNMT3A
16861,STAT5A,CD68
16862,SPIB,ANKRD12
16863,CREBBP,MYCBP
16864,GATA3,ID1
16865,CTBP2,MEF2D
16866,FOS,AHR
16867,BRD3,IKZF3
16868,TAF1,GADD45A
16869,IRF1,PRKCH
16870,GABPA,PAFAH1B2
16871,ATF3,CYFIP1
16872,MAZ,PIK3R1
16873,JUND,IGF2R
16874,POLR2A,NDUFV3
16875,POLR2A,H1F0
16876,TCF12,ERN1
16877,MAZ,CNP
16878,FLI1,TMBIM4
16879,JUND,MT-CO3
16880,LMO2,PTGS2
16881,TBX21,JAK2
16882,FLI1,ANKRD13D
16883,TBX21,DENND5A
16884,CDK9,TXNDC17
16885,CTBP2,NOC4L
16886,ATF2,CREBL2
16887,IRF1,MEGF9
16888,NFYB,CDK13
16889,POU2F2,LINC00649
16890,BCL6,NELFE
16891,IRF5,RPLP0
16892,POU2F1,FAM78A
16893,LMO2,AC006369.2
16894,CEBPA,PRAM1
16895,TCF12,FLJ37453
16896,CEBPA,RAP1A
16897,FLI1,TBX21
16898,GABPA,P4HB
16899,FOS,FCMR
16900,ATF3,RPL7A
16901,CDK9,SPG11
16902,RUNX3,HLA-DMB
16903,GATA3,PCF11
16904,GABPA,ST3GAL2
16905,ETS1,NPM3
16906,MAZ,JOSD1
16907,CREBBP,PLXNB2
16908,JUND,MPRIP
16909,BATF,SLC25A3
16910,EP300,SNRPG
16911,CTBP2,HNRNPU
16912,FOXP1,SERF2
16913,CEBPA,SEPT11
16914,EP300,BRIX1
16915,GABPA,NLRC5
16916,EP300,PIEZO1
16917,RUNX3,CUTA
16918,RUNX3,TMA7
16919,EP300,ATPAF1
16920,ATF2,IGF2R
16921,ATF3,RTFDC1
16922,BCL11A,TBK1
16923,SPIB,HVCN1
16924,STAT4,NCOA1
16925,JUND,SEPT9
16926,STAT4,TXNRD1
16927,STAT5B,FAM210B
16928,POU2F2,TESC
16929,CBFB,C15orf39
16930,EP300,EAF2
16931,MAZ,PLAC8
16932,RXRA,RPL32
16933,IRF1,ATF3
16934,STAT5B,RPS18
16935,BCL11A,ETV6
16936,BCL11A,IL4R
16937,BATF,ITPRIP
16938,EP300,MSH3
16939,POU2F1,RPL18A
16940,ZZZ3,FCGR2A
16941,ZZZ3,UBP1
16942,STAT1,STX4
16943,STAT1,ADRBK1
16944,CTBP2,CD44
16945,BHLHE40,TSR3
16946,GABPA,CRK
16947,BCL6,GIGYF2
16948,CEBPA,RNF19A
16949,LMO2,WWP2
16950,FOXP1,DEGS1
16951,POLR2A,CD4
16952,BRD3,LMF2
16953,CEBPA,SLC7A7
16954,FOS,AGO1
16955,LMO2,BST1
16956,MAZ,CCDC47
16957,CBFB,TXNRD1
16958,EP300,CWC27
16959,CDK9,GRN
16960,BATF,ISG20
16961,CTBP2,ANKIB1
16962,MEF2C,PSTPIP2
16963,FOS,GNPDA1
16964,CEBPA,CDC27
16965,ESRRA,SIL1
16966,MYC,PRKCD
16967,RUNX3,GLUL
16968,GATA3,FHL3
16969,LMO2,SHTN1
16970,POLR2A,H3F3B
16971,POLR2A,LAT2
16972,BHLHE40,TNFAIP8L2
16973,FLI1,TSEN15
16974,SPI1,RBM47
16975,CBFB,C1orf132
16976,GABPA,SNX17
16977,ETS1,BRK1
16978,EP300,DCAF10
16979,IRF1,DHX57
16980,EP300,CHCHD10
16981,CDK9,KDM3B
16982,MEF2C,CHRM3-AS2
16983,BCL11A,MT1X
16984,NFYB,TRAPPC12
16985,BATF,GPX1
16986,GABPA,TOB1
16987,EP300,PRKAG1
16988,SPI1,MAF1
16989,CTBP2,ARFIP1
16990,IRF5,SYNGR1
16991,STAT5A,USP15
16992,POU2F1,TSTD1
16993,SPI1,TTC9C
16994,CDK9,SYMPK
16995,EP300,SCLT1
16996,EP300,RNF11
16997,RARA,AHR
16998,RAD21,SEPT11
16999,GABPA,PDK2
17000,JUND,SLC40A1
17001,CTBP2,BORCS5
17002,BCL11A,VEZF1
17003,EP300,KIAA0232
17004,BRD3,C9orf78
17005,FOS,ACTR2
17006,CREBBP,KLF6
17007,POLR2A,DUSP28
17008,SPI1,MFSD1
17009,EP300,PRDX4
17010,CDK9,MZF1-AS1
17011,SPI1,STK17A
17012,STAT5B,FKBP1A
17013,CTBP2,PHYH
17014,CEBPA,ERAP1
17015,RUNX3,WHSC1L1
17016,CREBBP,LINC00657
17017,STAT5B,MTFP1
17018,EP300,FAM134B
17019,MAZ,RPL36A
17020,SPI1,PHACTR2
17021,TBX21,C18orf25
17022,STAT4,HMOX1
17023,POLR2A,VTI1B
17024,GABPA,SVIL
17025,STAT5B,ACTN1
17026,CEBPA,OSCAR
17027,SPI1,BTK
17028,FOXP1,GDI2
17029,BCL6,RBM47
17030,IRF1,AIMP1
17031,STAT4,APBA2
17032,JUND,CLEC11A
17033,FOS,CCDC137
17034,RXRA,PRKCB
17035,BHLHE40,RBBP4
17036,TBX21,MT-ND5
17037,RARA,FCMR
17038,CREBBP,ASAP1
17039,CDK9,MAPK14
17040,MAZ,PTGER2
17041,RAD21,RNF19A
17042,ETS1,SPG11
17043,CREBBP,FEM1B
17044,RAD21,SLC7A7
17045,SPIB,GRB2
17046,TAF1,MAGOH
17047,TCF12,TFRC
17048,CTBP2,GAPDH
17049,CREBBP,CHFR
17050,ATF3,ODF2
17051,LMO2,NFYB
17052,CBFB,HMOX1
17053,ETV6,SUCLA2
17054,ETS1,DHX38
17055,IRF1,TMEM41B
17056,MAZ,NOB1
17057,EP300,PTP4A2
17058,CEBPA,STAT5A
17059,GABPA,MFSD10
17060,TAF1,LRRC25
17061,MEF2C,GBP3
17062,SPI1,SPRTN
17063,LMO2,CD68
17064,PML,TFRC
17065,BCL6,STK17A
17066,BCL11A,CDK6
17067,CREBBP,SRP54
17068,IRF1,PHACTR1
17069,CTBP2,PLP2
17070,GABPA,PIK3R5
17071,IRF5,SCAMP1
17072,MEF2C,DUSP1
17073,EP300,PSMC5
17074,TBP,ARFGAP1
17075,BCL6,PHACTR2
17076,FOXP1,SPON2
17077,BHLHE40,EVI5
17078,GABPA,STAT2
17079,CDK9,USP47
17080,ESRRA,CLIC1
17081,POLR2A,RHNO1
17082,FOS,TNFAIP8L2
17083,FLI1,ZYG11B
17084,SPI1,APIP
17085,SPI1,TTPAL
17086,MAZ,DPYSL2
17087,ETS1,GRN
17088,BCL11A,LSM10
17089,JUND,RPS25
17090,FLI1,CASC3
17091,RARA,GNPDA1
17092,RXRA,C1orf228
17093,GATA3,H1F0
17094,JUND,SLC25A5
17095,SPI1,SCO2
17096,EP300,GYPC
17097,GATA3,TMEM106C
17098,CBFB,TYK2
17099,ATF2,NOP10
17100,CEBPA,MFGE8
17101,ELF1,HIST1H4C
17102,FLI1,EFCAB2
17103,MYC,SUPT5H
17104,IRF1,ZNF766
17105,TCF12,DPYSL2
17106,GABPA,APOBEC3A
17107,BHLHE40,YAF2
17108,CEBPA,TRIM33
17109,LYL1,CYTH1
17110,EP300,NADK
17111,CTBP2,OAS2
17112,MAZ,ARHGAP1
17113,ELF1,GORASP2
17114,ATF3,CLN6
17115,CEBPA,PSMC6
17116,CBFB,CAMK2G
17117,GABPA,TMEM91
17118,RUNX3,MAP1S
17119,RUNX3,ARFGAP3
17120,CTBP2,N4BP2L2
17121,ETV6,ENTPD6
17122,SPI1,SPTSSA
17123,TAF1,LPIN2
17124,ESRRA,CAP1
17125,GATA3,NDUFB5
17126,MAZ,S100A6
17127,CEBPA,POGZ
17128,STAT5B,EIF3E
17129,IRF5,CALR
17130,POLR2A,PTRH1
17131,RXRA,CRIP1
17132,RARA,ACTR2
17133,TAF1,HGS
17134,ETS1,BLOC1S1
17135,EP300,PLEC
17136,ETS1,MZF1-AS1
17137,ESRRA,LSM7
17138,IKZF1,PPP1R18
17139,TAF1,HDGF
17140,BCL6,EPHA1-AS1
17141,EP300,FAM172A
17142,CDK9,ACAT2
17143,BATF,SLFN12L
17144,CTBP2,CDC42SE1
17145,BATF,ZFP90
17146,TBP,PLXDC2
17147,RARA,ARL6IP5
17148,MEF2C,NINJ1
17149,CEBPA,VPS26A
17150,PML,ARHGAP1
17151,ETS1,NDUFA12
17152,TCF12,IRF9
17153,ESRRA,NSUN6
17154,CTBP2,PNMA1
17155,FOS,CXCL8
17156,BATF,ZSWIM8
17157,STAT4,CD300C
17158,GABPA,NOP10
17159,TBX21,CD5
17160,BCL11A,REL
17161,EP300,SREBF2
17162,MEF2C,SF1
17163,GABPA,SH2B1
17164,LMO2,METTL15
17165,NFYB,FAM126A
17166,ZZZ3,SULT1A1
17167,ETV6,RPL8
17168,ETS1,MAPK14
17169,ESRRA,SNHG7
17170,POU2F2,FAM49B
17171,MAZ,SLCO3A1
17172,BCL6,SEC62
17173,TCF12,RHOC
17174,EP300,RBMX2
17175,BHLHE40,MCM7
17176,ETS1,FBXO42
17177,GATA3,CD4
17178,RUNX3,BRD2
17179,FOS,EVI5
17180,TBP,BEX5
17181,STAT5B,PRRC1
17182,EP300,TOR1AIP2
17183,BHLHE40,SEPT7
17184,CTBP2,PILRA
17185,TBX21,NFAT5
17186,BATF,PIGC
17187,BHLHE40,SPPL3
17188,ZZZ3,KLHL7
17189,SPI1,SRSF3
17190,RAD21,MFGE8
17191,STAT4,SNHG8
17192,IRF1,BRIX1
17193,STAT5B,GPKOW
17194,EP300,QSOX1
17195,PML,RHOC
17196,IRF1,PIEZO1
17197,POU2F1,CHMP4A
17198,TAF1,TMEM41A
17199,ATF3,SLA2
17200,LMO2,CD72
17201,GATA3,H3F3B
17202,LMO2,FAM228B
17203,EP300,LAMTOR3
17204,LMO2,PSMA7
17205,ETS1,ZNF622
17206,GATA3,HLA-G
17207,EP300,TDG
17208,ESRRA,GFM1
17209,STAT4,HENMT1
17210,JUND,GPR155
17211,FLI1,ATF5
17212,STAT4,METTL13
17213,ETS1,USP47
17214,EP300,EMC10
17215,CDK9,DUSP22
17216,SPI1,H1FX
17217,TBP,AP2S1
17218,RXRA,HLA-C
17219,RUNX3,KDSR
17220,BATF,HLA-DMB
17221,CTBP2,RHOH
17222,ETV6,XPOT
17223,IRF1,EAF2
17224,ETV6,BHLHE40
17225,ESRRA,HSBP1L1
17226,LMO2,TARBP1
17227,STAT4,DBNL
17228,CDK9,TBC1D10A
17229,IRF5,TMED1
17230,CEBPA,CAPZB
17231,RAD21,EPC1
17232,FLI1,ZBTB4
17233,RXRA,SLC4A1AP
17234,RXRA,RP11-347P5.1
17235,CTBP2,DCAF16
17236,FLI1,EDEM1
17237,FLI1,NDUFA13
17238,NFYB,SUN2
17239,CDK9,SLC35A1
17240,JUND,APAF1
17241,ATF3,GIMAP8
17242,GATA3,ITM2A
17243,CDK9,FXYD7
17244,TBP,LMF2
17245,BHLHE40,TPRG1L
17246,IRF1,CWC27
17247,NFYB,PRR14
17248,TAF1,PSTPIP1
17249,SPIB,VPREB3
17250,ATF3,KLRF1
17251,MAZ,SURF2
17252,TBX21,NINJ1
17253,TAF1,TUBA4A
17254,BHLHE40,TRAFD1
17255,EP300,ITGA6
17256,GABPA,PCNP
17257,POLR2A,GNB2
17258,JUND,NCOA2
17259,GABPA,SDF2L1
17260,TCF12,AHR
17261,CEBPA,CECR1
17262,RXRA,ATP6V0A2
17263,TCF12,CYB561D2
17264,FOS,NEK9
17265,BHLHE40,CYB561A3
17266,ZZZ3,ARGLU1
17267,BCL6,TRIM22
17268,TBX21,SF1
17269,EP300,RBFA
17270,CTBP2,TWF1
17271,IRF1,DCAF10
17272,CDK9,BACH1
17273,LMO2,PTPN6
17274,CTBP2,STX3
17275,CREBBP,GPBP1
17276,JUND,EMILIN2
17277,FLI1,CTNNA1
17278,IRF1,PRKAG1
17279,GABPA,DNASE1L1
17280,CDK9,ARSG
17281,RXRA,MTIF2
17282,IRF5,PTGS2
17283,TBX21,MS4A1
17284,BHLHE40,UBE2V1
17285,CEBPA,THRA
17286,CDK9,PNP
17287,FOS,NME6
17288,IRF1,PIK3CD
17289,BRD3,GIPC1
17290,IRF5,AC006369.2
17291,IRF1,KIAA0232
17292,CEBPA,ACD
17293,GABPA,UTP14A
17294,TBP,C9orf78
17295,LMO2,RPS8
17296,MAZ,CXCL16
17297,EP300,ZCCHC8
17298,MAZ,CHD9
17299,RARA,DENND4B
17300,ETV6,TTC39B
17301,CEBPA,POMC
17302,GABPA,ME2
17303,MAZ,GOLT1B
17304,FOS,MCM7
17305,BATF,LAPTM5
17306,FOS,SEPT7
17307,ZZZ3,HOXB-AS1
17308,RXRA,TSEN54
17309,POU2F2,KLRF1
17310,CDK9,UBR5
17311,BCL11A,LARP1
17312,TCF12,CHD9
17313,EP300,SNAPC3
17314,NFYB,TRIOBP
17315,CTBP2,C5AR1
17316,FOS,ETS2
17317,CEBPA,DTWD1
17318,RXRA,CD74
17319,CEBPA,CRTAP
17320,BCL6,NF1
17321,SPIB,SP3
17322,POU2F1,GRN
17323,STAT1,CTD-2020K17.1
17324,ATF3,AC013461.1
17325,ELF1,WHAMM
17326,TCF12,SHISA5
17327,BHLHE40,ZFPL1
17328,CDK9,MIS18BP1
17329,MAZ,NDUFAF1
17330,ATF3,ABHD5
17331,EP300,ZMAT3
17332,IRF1,TLN1
17333,BHLHE40,POLR2J3
17334,MAZ,RAB1B
17335,PML,CHD9
17336,EP300,PPP3R1
17337,BHLHE40,SPIB
17338,MAZ,AGO1
17339,SPI1,CUL4A
17340,FLI1,RPS2
17341,GABPA,VPS13C
17342,IRF1,PTP4A2
17343,ZNF143,BAD
17344,TAF1,LILRA5
17345,FLI1,CEP290
17346,EP300,KIZ
17347,CREBBP,SLFN5
17348,TCF12,RAB1B
17349,EP300,LZIC
17350,FLI1,RAB32
17351,STAT5B,VAMP8
17352,JUND,RPS6KA4
17353,MYC,CRELD2
17354,TAF1,RTN3
17355,CDK9,ID1
17356,CTBP2,TUBA1A
17357,SPI1,CSNK1G2
17358,ETS1,VDAC2
17359,ATF3,THRAP3
17360,IRF1,PSMC5
17361,ELF1,SIRT2
17362,CDK9,ARHGAP27
17363,TCF12,GNPDA1
17364,CTBP2,SLC8A1
17365,ATF3,PASK
17366,STAT4,ACTG1
17367,EP300,CCDC69
17368,FOS,TRAFD1
17369,EP300,FOXN2
17370,FOXP1,UPF2
17371,RAD21,THRA
17372,SPI1,PAG1
17373,MEF2C,CD28
17374,RUNX3,GPS2
17375,STAT5B,MEF2D
17376,FOS,CYB561A3
17377,LMO2,SYTL3
17378,SPI1,PXN
17379,ETV6,COMMD6
17380,TBP,METTL12
17381,GATA3,PTRH1
17382,GABPA,LINC00649
17383,RAD21,ACD
17384,ETV6,RPL10
17385,ZZZ3,BLVRA
17386,POU2F2,ATP11B
17387,ETS1,SLC35A1
17388,FLI1,MKL1
17389,ELF1,EIF2AK4
17390,ATF3,MYL12B
17391,MYC,UQCC3
17392,BCL11A,BAZ1A
17393,CBFB,ACTG1
17394,GABPA,SHOC2
17395,TBX21,TRAF1
17396,GABPA,ARPC5L
17397,BATF,LGALS3BP
17398,CTBP2,BCL6
17399,BHLHE40,PSMB8
17400,POU2F2,ABHD5
17401,TBX21,PTPRC
17402,FLI1,ECE1
17403,ATF2,LY86
17404,RUNX3,TAF8
17405,CEBPA,SENP5
17406,CEBPA,PPCDC
17407,TAF1,BCL7C
17408,FLI1,AK5
17409,FLI1,MIB2
17410,FLI1,MARCH8
17411,BHLHE40,EPHX2
17412,FOXP1,MAPKAPK3
17413,IRF1,NADK
17414,ETS1,BACH1
17415,CTBP2,TRIM14
17416,NFYB,TMED9
17417,CDK9,SLC8B1
17418,ETS1,MAN2B1
17419,POU2F1,FBXO42
17420,CDK9,RCC2
17421,CTBP2,CCNDBP1
17422,RUNX3,STK17A
17423,ATF3,PFN1
17424,MAZ,CCDC137
17425,ETS1,ARSG
17426,TBP,RP4-594I10.3
17427,GATA3,C11orf58
17428,TAF1,SULT1A1
17429,STAT5B,HNRNPU
17430,CREBBP,SMIM15
17431,ATF3,MZF1
17432,TAF1,MXD1
17433,POLR2A,CIAO1
17434,RXRA,EEF1A1
17435,TBP,SLC1A5
17436,MEF2C,IQGAP2
17437,NFYB,NPM1
17438,ATF3,ATG4B
17439,BCL6,RSL1D1
17440,RARA,TRMT6
17441,FLI1,SH2D2A
17442,POLR2A,THUMPD3-AS1
17443,BCL6,PXN
17444,IRF1,PLEC
17445,TCF12,CCDC137
17446,IRF1,MPST
17447,GABPA,TESC
17448,BCL6,ZNF467
17449,BCL11A,CCDC130
17450,FOXP1,RPL6
17451,FLI1,GCHFR
17452,IRF1,NCF2
17453,STAT5B,STAT3
17454,FOXP1,DHX8
17455,IRF5,NFYB
17456,RXRA,IMPDH1
17457,MAZ,FAM129C
17458,ETS1,UBR5
17459,NFYB,HLA-DQA1
17460,TAF1,CSF1R
17461,BATF,MT-CYB
17462,BCL6,AOAH
17463,RARA,ETS2
17464,BCL6,PID1
17465,EP300,COMTD1
17466,CBFB,DDX23
17467,TBX21,CD28
17468,ATF3,HLA-A
17469,SPI1,EXOSC5
17470,MAZ,TNFAIP8L2
17471,LMO2,LBR
17472,ELF1,IK
17473,POU2F2,ADAM15
17474,CDK9,FHL3
17475,ETS1,MIS18BP1
17476,LMO2,XPC
17477,STAT5B,SH3BP2
17478,ESRRA,TBP
17479,ATF2,TBC1D9
17480,POU2F2,PFN1
17481,BCL6,RP11-489E7.4
17482,IRF1,TOR1AIP2
17483,ATF3,C11orf21
17484,MAZ,TRIM39
17485,CREBBP,DALRD3
17486,FOXP1,MCTP1
17487,IRF1,QSOX1
17488,TCF12,CDK11B
17489,CTBP2,JUND
17490,MEF2C,CISH
17491,FLI1,LEPROT
17492,FLI1,DDX24
17493,BRD3,RORA
17494,IRF1,AGTRAP
17495,IRF1,TDG
17496,RXRA,DDX17
17497,FOS,PSMB8
17498,GABPA,MGAT4A
17499,BCL6,GALNT11
17500,BRD3,MGEA5
17501,POU2F2,PLEKHF1
17502,CTBP2,ITPK1
17503,TCF12,TP53I13
17504,TBX21,IGHM
17505,CEBPA,CNPY3
17506,CREBBP,PPP2R3C
17507,FOXP1,ZZZ3
17508,BCL6,INPP4B
17509,CREBBP,ORC4
17510,RXRA,TMEM243
17511,EP300,LINC00877
17512,ETS1,ITM2B
17513,MAZ,RBBP4
17514,NFYB,TMEM134
17515,SPI1,RFFL
17516,FOS,NOL9
17517,EP300,JMJD1C
17518,RXRA,DRAM2
17519,RARA,JAK1
17520,BHLHE40,SLC25A3
17521,STAT1,MAPKAPK3
17522,EP300,SCAP
17523,CDK9,RNF40
17524,CEBPA,FXN
17525,EP300,NUP54
17526,EP300,PPP6R3
17527,ETS1,PCF11
17528,SPI1,CDKN2AIP
17529,TCF12,RBBP4
17530,TAF1,CHMP1A
17531,GABPA,ZNF706
17532,LMO2,C19orf52
17533,CEBPA,MKRN2
17534,CDK9,CISD2
17535,ETS1,SLC8B1
17536,POLR2A,RIT1
17537,ETS1,RCC2
17538,SPI1,GLI4
17539,SPI1,MALAT1
17540,RXRA,RABIF
17541,JUND,PREPL
17542,CEBPA,MYH9
17543,POLR2A,HNRNPU-AS1
17544,FOXP1,DPP3
17545,BHLHE40,ITPRIP
17546,ATF3,EVL
17547,MEF2C,AKTIP
17548,GABPA,IRF1
17549,MAZ,EVI5
17550,CTBP2,SSBP3
17551,POLR2A,PSMG3
17552,TBP,GIPC1
17553,RXRA,CSNK1E
17554,IRF5,METTL15
17555,POLR2A,CISD3
17556,ATF3,THOC6
17557,POU2F2,PLBD1
17558,FOS,FOXP1
17559,POU2F1,VDAC2
17560,ELF1,ATP11A
17561,POU2F2,TRAF5
17562,BHLHE40,ISG20
17563,BCL6,RFFL
17564,LMO2,PLAUR
17565,CTBP2,PLA2G16
17566,BRD3,ODC1
17567,FOXP1,SLC25A46
17568,ELF1,BST2
17569,CBFB,ATG101
17570,MAZ,CERS2
17571,EP300,BCL9L
17572,EP300,SMAD2
17573,BRD3,FAF2
17574,ELF1,ADIPOR2
17575,LYL1,ADK
17576,CDK9,NDUFV3
17577,CEBPA,ARPC3
17578,CDK9,H1F0
17579,CDK9,GLT8D1
17580,GATA3,C5orf56
17581,CBFB,KIAA0922
17582,ETS1,STARD3
17583,ETS1,FHL3
17584,BATF,LEO1
17585,BCL6,MALAT1
17586,EGR1,DNAJC5
17587,MAZ,NUP50
17588,JUND,TPRA1
17589,CREBBP,IFFO1
17590,RUNX3,CCND3
17591,IRF5,PSMA7
17592,SPI1,SLC39A3
17593,ESRRA,CTAGE5
17594,EP300,PITPNM1
17595,RUNX3,TLR10
17596,STAT4,NFAM1
17597,GABPA,SEC22B
17598,FOXP1,KIAA0319L
17599,FLI1,PLEKHA2
17600,RUNX3,TBC1D17
17601,BCL11A,EHBP1L1
17602,TAF1,BLVRA
17603,LMO2,LY6E
17604,BCL6,COX5B
17605,LMO2,SNX3
17606,LYL1,STX6
17607,ETS1,RXRA
17608,RUNX3,H1FX
17609,ZNF143,NCLN
17610,GABPA,XPO6
17611,FOXP1,TMSB4X
17612,BATF,PDCL
17613,BRD3,WDR37
17614,GABPA,PURB
17615,GABPA,EMG1
17616,IRF1,LZIC
17617,LMO2,DNAJC4
17618,GATA3,GTF3C1
17619,RUNX3,ABI3
17620,SIN3A,HMGB1
17621,FOS,SLC25A3
17622,CEBPA,ESRRA
17623,ETV6,TXNIP
17624,CREBBP,FRG1
17625,ESRRA,ENTPD6
17626,POU2F2,PIM2
17627,EP300,CTD-2035E11.3
17628,TCF12,ATP6V0E2
17629,ETS1,RAB28
17630,RXRA,RNF40
17631,FOS,DDA1
17632,TBL1XR1,CRK
17633,SPI1,CDK2AP2
17634,BHLHE40,SEC14L1
17635,GABPA,FAM49B
17636,STAT4,SAMD3
17637,STAT5B,PNMA1
17638,IRF5,AZI2
17639,FOS,ITPRIP
17640,MAZ,MCM7
17641,TAF1,ESYT2
17642,CEBPA,ITGAL
17643,GATA3,HOXB-AS1
17644,MAZ,SEPT7
17645,MAZ,SPPL3
17646,FOS,ISG20
17647,IRF5,RPS8
17648,MAZ,SNHG12
17649,ETS1,TMEM192
17650,POLR2A,ACTN4
17651,SPI1,MYC
17652,SPI1,CIRBP
17653,BHLHE40,ILF3
17654,CDK9,H3F3B
17655,CDK9,LAT2
17656,SPI1,DNTTIP1
17657,RXRA,LACTB
17658,FLI1,KPNA3
17659,IRF5,RPS4X
17660,ESRRA,RPL8
17661,STAT4,CEBPA
17662,BCL6,GMFG
17663,GABPA,EHD4
17664,JUND,SPCS2
17665,BCL6,LINC00152
17666,STAT4,SFT2D2
17667,CBFB,PARP1
17668,TCF12,ETS2
17669,CREBBP,AGGF1
17670,ESRRA,RPL14
17671,LMO2,EXOSC3
17672,RARA,FOXP1
17673,FOS,GPX1
17674,ESRRA,TMEM131
17675,ZZZ3,TMSB10
17676,BCL11A,GYPC
17677,CTBP2,CDC37L1
17678,STAT4,H3F3A
17679,STAT5B,RINL
17680,ETV6,AGPAT3
17681,JUND,HLA-C
17682,POU2F2,SSFA2
17683,RAD21,ESRRA
17684,JUND,GIMAP6
17685,STAT5B,RHOH
17686,LMO2,LYN
17687,MAZ,TPRG1L
17688,MEF2C,P2RY13
17689,CDK9,DUSP28
17690,CBFB,BTG2
17691,JUND,SLC4A1AP
17692,ETS1,H1F0
17693,TAF1,BAD
17694,MEF2C,CFAP36
17695,CREBBP,HMGB1
17696,ETS1,GLT8D1
17697,MAZ,TRAFD1
17698,ETV6,NPDC1
17699,IRF1,COMTD1
17700,EP300,ARID5A
17701,CTBP2,EIF4G3
17702,POU2F1,IRF2BPL
17703,FOXP1,MGST2
17704,NFYB,CD226
17705,GABPA,CDK9
17706,MAZ,CYB561A3
17707,ESRRA,BHLHE40
17708,EP300,TPT1
17709,POLR2A,CALM1
17710,STAT4,EMP3
17711,SPI1,FKBP5
17712,POLR2A,SH3BP1
17713,GABPA,NPC2
17714,EP300,C22orf46
17715,CDK9,VTI1B
17716,ATF3,MAPK1
17717,BHLHE40,CD52
17718,ELF1,ANKRD39
17719,BATF,TLR2
17720,CEBPA,USB1
17721,CTBP2,ARPC5
17722,FOXP1,ST6GALNAC4
17723,LMO2,SEMA4D
17724,MAZ,UBE2V1
17725,GABPA,RC3H1
17726,EP300,CTBP2
17727,BATF,QDPR
17728,RUNX3,PAG1
17729,SPIB,CBL
17730,CBFB,EMP3
17731,IRF5,SYTL3
17732,NFYB,LENG1
17733,BATF,VPS26B
17734,CBFB,CAPN7
17735,ATF3,SUPT5H
17736,GABPA,REV3L
17737,RUNX3,PXN
17738,RUNX3,VASP
17739,LMO2,PTPN9
17740,JUND,NCL
17741,STAT5B,STX3
17742,BHLHE40,SLFN12L
17743,GABPA,PSMC2
17744,TBP,MON1B
17745,BHLHE40,RPL4
17746,STAT4,EIF1B
17747,FLI1,CCDC14
17748,BHLHE40,ZSWIM8
17749,FOS,TLE3
17750,CEBPA,RAD1
17751,EP300,LRRC47
17752,BRD3,HMOX1
17753,GABPA,AKAP7
17754,TBP,MGEA5
17755,ETS1,OGDH
17756,ZZZ3,FUCA1
17757,FLI1,GYG1
17758,FLI1,FBXW7
17759,JUND,TIPARP
17760,IRF1,EIF4E3
17761,PML,UBE2V1
17762,POU2F2,FGD5-AS1
17763,IRF1,APC
17764,IRF1,LINC00877
17765,TBX21,CEP68
17766,ZNF143,FLT3LG
17767,CDK9,RHNO1
17768,MAZ,ZFPL1
17769,IRF1,CAMK1
17770,RXRA,MIEF1
17771,RXRA,LRRC25
17772,IRF1,JMJD1C
17773,TBX21,CTA-292E10.6
17774,EP300,PSEN1
17775,LMO2,UBALD1
17776,SPIB,DPYD
17777,TCF12,MAPK1IP1L
17778,FOXP1,MSH2
17779,MAZ,POLR2J3
17780,TCF12,KIAA0430
17781,STAT4,CXCR4
17782,ESRRA,TTC39B
17783,SIN3A,G6PC3
17784,IRF1,NUP54
17785,ETS1,CD4
17786,MAZ,SPIB
17787,CTBP2,CCDC28B
17788,FLI1,ARHGAP15
17789,POU2F1,STARD3
17790,STAT5B,C5AR1
17791,ETS1,C4orf3
17792,POU2F2,IL12RB1
17793,POU2F2,TIGIT
17794,SPIB,HELB
17795,SPI1,NUP98
17796,LMO2,UHRF1BP1L
17797,RARA,ISG20
